"OBJECTID","CNN","STREETNAME","FROM_ST","TO_ST","FACILITY_T","DIRECT","SURFACE_TR","BARRIER","NOTES","DIR","DOUBLE","FY","QTR","STREET_","LENGTH","NUMBER_","INSTALL_MO","UPDATE_YR","UPDATE_MO","INSTALL_YR","GLOBALID","SYMBOLOGY","SHARROW","BUFFERED","RAISED","CONTRAFLOW","GREENWAVE","BIAP","SM_SWEEPER","shape","RECOMMENDATION"
"72","10553000","POLK ST","ELM ST","TURK ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","0","0","0","Polk St","0.03242754","25",,"2,022","1","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.41890131 37.781704787, -122.418993273 37.782169271)","3"
"721","8752202","MARKET ST","HAYES ST","LARKIN ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,,"0","0","0","Market St","0.02885363","50",,"2,011","5","2001",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.415925978 37.777795113, -122.416291702 37.777493842)","3"
"1950","549102","13TH ST","FOLSOM ST","TRAINOR ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"E",,"2,017","4","13th St","0.05947065","0","5",,,"2017",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.414494438 37.769535777, -122.4148215 37.769546862, -122.415388324 37.769566071, -122.415496407 37.769576481, -122.415577015 37.76959116)","3"
"127","380002","07TH ST","CHANNEL ST","HOOPER ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","0",,,"7th St","0.03401025","20",,"2,020","8","1999",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.398617492 37.769390865, -122.398179219 37.769041378)","3"
"847","130000","2ND ST","STEVENSON ST","JESSIE ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","0","0","0","2nd St","0.03633685","11",,"2,019","4","0",,"SEPARATED BIKEWAY","0","NO","YES","NO","NO","NO","NO","LINESTRING (-122.400812303 37.788815497, -122.40034385 37.788442163)","3"
"809","12716000","TURK ST","TAYLOR ST","MARKET ST","CLASS IV","1W","GREEN PAINT","SAFE-HIT POSTS",,"W","0",,,"Turk St","0.10224185",,"4",,,"2019",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.408952159 37.783287852, -122.409251727 37.783407444, -122.410764827 37.783214313)","3"
"3690","5675000","FOLSOM ST","RAUSCH ST","HALLAM ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"E","0","2,014","0","Folsom St","0.00780029","30",,"2,018","1","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.408946745 37.775873445, -122.40884575 37.775953229)","3"
"815","133000","2ND ST","MINNA ST","NATOMA ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","1","0","0","2nd St","0.03634315","11",,"2,019","4","0",,"SEPARATED BIKEWAY","1","NO","YES","NO","NO","NO","NO","LINESTRING (-122.399255049 37.787579278, -122.3987896 37.787203463)","3"
"56","10555000","POLK ST","EDDY ST","WILLOW ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"S","1","0","0","Polk St","0.03255507","25",,"2,019","5","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.419181704 37.7831014, -122.419273432 37.783567785)","3"
"4735","697000","16TH ST","3RD ST","6TH ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"E","1",,,"16th St","0.09322841","33",,"2,021","1","1997",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.389099105 37.76690348, -122.390797169 37.766802442)","3"
