"OBJECTID","ADDRESS","LOCATION","STREET","PLACEMENT","RACKS","SPACES","GLOBALID","INSTALL_YR","INSTALL_MO","LAT","LON","shape","data_as_of","data_loaded_at","analysis_neighborhood","supervisor_district"
"12183","Belden Street","Belden Place","BUSH","SIDEWALK","2","4",,"2017","1","37.790909","-122.403743","POINT (-122.4037425 37.79090921)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Financial District/South Beach","3"
"20813","1984 Mission Street","H&R block","Mission Street","SIDEWALK","1","2",,"2023","11",,,"POINT (-122.419769683 37.765347021)","2023 Nov 13 03:31:03 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"11638","2762 FOLSOM ST","Inglesia Zion","FOLSOM","SIDEWALK","2","4",,"2011","3","37.753068","-122.414474","POINT (-122.414473796 37.753068005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"12367","51 HAVELOCK ST","Balboa Park Swimming Pool","HAVELOCK","SIDEWALK","2","4",,"2011","1","37.724767","-122.44624","POINT (-122.446239695 37.724766729)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Outer Mission","11"
"11235","3300 BALBOA ST","Multicultural Preschool","BALBOA","SIDEWALK","1","2",,"2014","7","37.776094","-122.494286","POINT (-122.494285682 37.776094239)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Outer Richmond","1"
"10556","2991 SACRAMENTO ST","Liege Home and Garden","SACRAMENTO","SIDEWALK","1","2",,"2002","0","37.788724","-122.441895","POINT (-122.441894588 37.788724444)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Pacific Heights","2"
"14212","2151 Laguna",,"Laguna","SIDEWALK","3","6",,"2021","5",,,"POINT (-122.429175141 37.790921901)","2021 Dec 29 04:46:38 PM","2024 Jun 17 10:17:16 AM","Pacific Heights","2"
"12493","548 Union Street","(former business) Cykel","Union Street","SIDEWALK","1","2",,"2019","12","37.79941077","-122.41747122","POINT (-122.417471223 37.799410774)","2020 Jan 31 02:21:37 PM","2024 Jun 17 10:17:16 AM","Russian Hill","3"
"12687","4113 4113 19th St",,"4113 19th St","SIDEWALK","2","4",,"2019","12","37.75926779","-122.43507125","POINT (-122.435071248 37.759267792)","2020 Jan 31 02:21:36 PM","2024 Jun 17 10:17:16 AM","Castro/Upper Market","8"
"11036","4555 CALIFORNIA ST","Village Market","CALIFORNIA","SIDEWALK","1","2",,"2011","6","37.784506","-122.466493","POINT (-122.466492785 37.784506006)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Inner Richmond","1"
"9822","1387 VALENCIA ST","Synergy School","VALENCIA","SIDEWALK","2","4",,"2011","3","37.750869","-122.420187","POINT (-122.420186597 37.750869296)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"14010","4140 Kirkham St",,"Kirkham St","SIDEWALK","1","2",,"2020","12",,,"POINT (-122.505183005 37.758594634)","2020 Dec 31 12:21:38 PM","2024 Jun 17 10:17:16 AM","Sunset/Parkside","4"
"9183","219 CLEMENT ST","dental office","CLEMENT","SIDEWALK","1","2",,"2006","0","37.782825","-122.461587","POINT (-122.461586786 37.782825006)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Inner Richmond","1"
"12747","500 spruce","Starbucks","spruce","SIDEWALK","1","2",,"2019","12","37.7863496","-122.4533813","POINT (-122.453381301 37.786349595)","2020 Jan 31 02:21:37 PM","2024 Jun 17 10:17:16 AM","Presidio Heights","2"
"11344","720 YORK ST","UNKNOWN","YORK","SIDEWALK","1","2",,"2003","0","37.759821","-122.40919","POINT (-122.409189797 37.759821004)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"10493","451 JUDAH ST","Fluid Yoga","JUDAH","SIDEWALK","1","2",,"2012","5","37.761884","-122.467045","POINT (-122.467044788 37.761884008)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Inner Sunset","7"
"21165",,"Stow Lake Parking Lot","Stow Lake Drive","SIDEWALK","8","16",,"2023","10",,,"POINT (-122.477134215 37.770926992)","2023 Nov 13 03:39:45 PM","2024 Jun 17 10:17:16 AM","Golden Gate Park","7"
"11957","342 09TH ST","Nomadic Arts Home Furnishings","09TH","SIDEWALK","2","4",,"0","0","37.773115","-122.411245","POINT (-122.411244495 37.773115033)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"9717","944 FOLSOM ST","Boyd Lighting","FOLSOM","SIDEWALK","1","2",,"2004","0","37.77967","-122.404652","POINT (-122.404651796 37.779670003)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"14431","2178 37TH AVE",,"37TH AVE","SIDEWALK","1","2",,"2021","10",,,"POINT (-122.495284227 37.746418623)","2021 Dec 29 04:46:38 PM","2024 Jun 17 10:17:16 AM","Sunset/Parkside","4"
"8751","285 14th Street","Apt. Bld. Complex","14th Street","SIDEWALK","2","4",,"2017","10","0","0","POINT (-122.41945742 37.768120272)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"9788","925 MISSION ST","The Hub and Intersection for the Arts","MISSION","SIDEWALK","4","8",,"2013","1","37.782149","-122.406588","POINT (-122.406587795 37.782149002)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"10532","301 PINE ST","Equinox","PINE","SIDEWALK","1","2",,"2011","11","37.791829","-122.401267","POINT (-122.401266793 37.791829001)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Financial District/South Beach","3"
"12211","762 VALENCIA ST","Cha-Ya restaurant","VALENCIA","SIDEWALK","1","2",,"0","0","37.760748","-122.421774","POINT (-122.421773795 37.760748005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"14282","451 Gough",,"Gough","SIDEWALK","1","2",,"2021","7",,,"POINT (-122.423075288 37.777412863)","2021 Dec 29 04:46:38 PM","2024 Jun 17 10:17:16 AM","Hayes Valley","5"
"14408","508 Baker Street",,"Baker Street","SIDEWALK","1","2",,"2021","12",,,"POINT (-122.441320936 37.775659786)","2021 Dec 29 04:46:38 PM","2024 Jun 17 10:17:16 AM","Hayes Valley","5"
"11450","61 NEW MONTGOMERY ST","Crunch","NEW MONTGOMERY","SIDEWALK","1","2",,"2010","0","37.788222","-122.400942","POINT (-122.400941794 37.788222001)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Financial District/South Beach","6"
"9256","2222 Irving St","TC Pastery","IRVING","SIDEWALK","1","2",,"2017","7","37.76343","-122.481672","POINT (-122.481672409 37.763430251)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Sunset/Parkside","4"
"10741","800 GREAT HWY","Ocean Beach","GREAT HWY","SIDEWALK","3","6",,"2010","1","37.772702","-122.510407","POINT (-122.510406781 37.77270201)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Outer Richmond","1"
"9891","601 VALENCIA ST","T-Mobile store","VALENCIA","SIDEWALK","1","2",,"2003","0","37.763087","-122.421382","POINT (-122.421381795 37.763087005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
